repair_queue_type,repair_reasons,reviewId,rating,publishedDate,text,competitor,year,manual_relevance,manual_user_type,primary_complaint_theme,secondary_complaint_theme,manual_complaint_themes,manual_severity,annotation_method,annotation_status
unlabelled_retry,previous_full_run_skipped_or_unlabelled,6a763c6c2df9d7a0c9747b7c,1,2026-08-07 22:13:33+00:00,"My experience with Bark.com was very disappointing. I paid for credits to contact leads, but I did not get any real jobs from them. Some customers did not reply or answer at all after I used my credits.
I contacted Bark and asked for a credit refund, but I was not satisfied with the response. I also started to question whether some of the leads were genuine because there was no communication after I paid to contact them.
For me, it felt like I was paying for credits without getting real value in return. I would not recommend Bark.com based on my experience.",Bark,2026,Relevant,Service Provider / Business,Poor ROI / expensive leads,Billing / refunds,Poor ROI / expensive leads | Billing / refunds,Medium,Manual V3 review,manual_v3_label
unlabelled_retry,previous_full_run_skipped_or_unlabelled,6a72142384b4d54ea1522cdf,2,2026-08-04 18:32:35+00:00,"On the surface Bark seems like a good platform with lots of leads and only a certain number can reach out to each job to keep spam levels low. However, when you dig a little deeper most of the leads lack any detail, are expensive (credits) to purchase, are low value and tend to not respond. I regret purchasing credits as a freelancer as you're paying simply for the opportunity to send a one way message with no response or acknowledgement. AVOID AT ALL COSTS if you value your money/time.

2 stars because the platform works well technically.",Bark,2026,Relevant,Service Provider / Business,Poor ROI / expensive leads,Unresponsive leads,Poor ROI / expensive leads | Unresponsive leads,Medium,Manual V3 review,manual_v3_label
unlabelled_retry,previous_full_run_skipped_or_unlabelled,6a5945d7f4da4f0a540d2350,1,2026-07-16 22:57:59+00:00,Bark is a total con. I fully tested out the leads by testing out every available one in Melbourne and not one converted or even came close. This cost me hundreds of dollars and was nothing short of a scam. They advertise prices and then add on VAT which doesn’t exist in this country and claim to have money back guarantees but don’t respond to you when you try to claim what you are entitled to. They go so far as to offer an ‘Elite Pro’ version for even more money with extra support. Turns out it’s an AI bot that just gleans generic answers from their help section that doesn’t help with their scam techniques. I was asked twice to rate support I received which never took place so I fail to remember such an overtly obvious money grab in recent times. Will be contacting my bank to get my money back cos these guys vanish once they swindle you. STAY AWAY,Bark,2026,Relevant,Service Provider / Business,Poor ROI / expensive leads,Billing / refunds,Poor ROI / expensive leads | Billing / refunds,High,Manual V3 review,manual_v3_label
unlabelled_retry,previous_full_run_skipped_or_unlabelled,6a52ca8e420d0fbccbd53bf8,2,2026-07-12 00:58:22+00:00,"As a professional providing a photographic service to Bark customers, I find this customer-provider connection site is best suited to amateur photographers. Or to photographers who are prepared to only charge very low fees. This is because Bark seems to target customers whose primary concern is budget. It is also likely that most bark customers do not have any prior experience hiring professionals for anything. Bark as an organisation are prone to breaking service promises, and their various “support” staff seem to work in silos, so a discussion with one person who makes claims and promises outcomes is not recorded on any system nor is there a system in place to report on those broken promises. If you are a customer who has unrealistically low expectations about the costs involved in hiring professionals, you will fit right in with Bark. And if you are an amateur service provider hoping to gain some professional experience, you might benefit from the fees Bark charge to gain access to a customer’s contact info, but the benefit will be more in terms of how to deal with leads that almost never respond to your attempts to communicate about the details of their project which you seek in order to provide them with a professional quote. ",Bark,2026,Relevant,Service Provider / Business,Poor lead quality,Customer support,Poor lead quality | Customer support,Medium,Manual V3 review,manual_v3_label
unlabelled_retry,previous_full_run_skipped_or_unlabelled,6a295cb7c8fe235e12122491,1,2026-06-10 14:46:47+00:00,"En tant qu'entrepreneure, je me suis fait spammer par cette entreprise de demandes de prétendus clients qui cherchent un coach de vie. Je ne suis pas coach de vie, ces demandes mal ciblées répétées sont insupportables et les réponses IA même pas pertinentes sont vraiment le pire type de service client possible. Même si je pouvais avoir l'utilité de leurs services pour trouver des clients, je n'en voudrais jamais car cela démontre une absence totale de professionnalisme. ",Bark,2026,Relevant,Service Provider / Business,Poor lead quality,Privacy / unwanted contact,Poor lead quality | Privacy / unwanted contact,Medium,Manual V3 review,manual_v3_label
unlabelled_retry,previous_full_run_skipped_or_unlabelled,69602eabb8e5f767852994c7,2,2026-01-09 00:24:43+00:00,"I am a professional builder and my experience with Bark has been extremely disappointing and costly.

Bark uses misleading practices to push professionals into spending credits without receiving real value. Credits are deducted simply by clicking “View details” or accidentally pressing “Contact”, especially on mobile where the buttons are placed extremely close together. One accidental click = money gone, with no confirmation step.

What is even more concerning is the use of very large “tender-style” opportunities, such as £10m–£60m+ Design & Build projects allegedly linked to public bodies (e.g. Crown Estate). These listings are clearly designed to look serious and high-value, but they have no place on a platform like Bark and are completely unrealistic for how real public procurement works.

These “big tenders” strongly encourage professionals to click out of curiosity or hope, only to immediately lose credits. In reality, such projects are procured through official frameworks and tender portals — not Bark. This feels deliberately misleading.

I have spent over £700 in credits without securing a single job. Many leads either never respond, are unsuitable once details are revealed, or appear to exist only to trigger credit charges.

This platform appears to make money from clicks and dark UX design, not from helping professionals win work. I strongly warn other builders and tradespeople: be extremely careful.

I would not recommend Bark to professionals who value transparency and fair business practices.
",Bark,2026,Relevant,Service Provider / Business,Poor ROI / expensive leads,Misleading claims / transparency,Poor ROI / expensive leads | Misleading claims / transparency,High,Manual V3 review,manual_v3_label
unlabelled_retry,previous_full_run_skipped_or_unlabelled,690a5827756a90b01352e287,2,2025-11-04 21:46:47+00:00,"I find Bark.com to be really hit and miss. It’s difficult to see the real value, especially for commercial cleaning. I just spent 18 credits (about $36) on what was supposed to be a commercial cleaning lead, only to discover that the contact details belonged to another cleaning company — clearly not a genuine lead.

I submitted a refund request and even included a link showing that the contact was indeed a local cleaning business, but my request was denied today because they wanted “more proof.” It’s frustrating and feels like wasted money.

Home cleaning leads seem to be a bit better, but commercial leads are a complete joke. You’re better off throwing your money in the garbage.",Bark,2025,Relevant,Service Provider / Business,Fake / invalid leads,Billing / refunds,Fake / invalid leads | Billing / refunds,Medium,Manual V3 review,manual_v3_label
unlabelled_retry,previous_full_run_skipped_or_unlabelled,69061678de7379988ea8fde4,2,2025-11-01 16:17:28+00:00,Bark spamed my email and telephone number with more than 50 emails and phone calls.  I put my information in on Bark but did not click on any provider to request a bid.  I specifically asked for no phone contact and Bark stated they would not spam me or words to that effect.  The site is poorly worded and caused more problems instead of a solution.  I was able to find a website designer on my own without Bark.  I would consider Bark a great source for website design if they did not give out my contact information and allowed me to choose the provider.  The quality and experience of the website designers is 5 star.  Bark is a 2 star.  Thank you for the opportunity to say this.  I will not use Bark again without a change in the contact process. ,Bark,2025,Relevant,Customer,Too many provider contacts / spam,Privacy / unwanted contact,Too many provider contacts / spam | Privacy / unwanted contact,Medium,Manual V3 review,manual_v3_label
unlabelled_retry,previous_full_run_skipped_or_unlabelled,68fd0d9beca7a04e19c3a257,2,2025-10-25 19:49:15+00:00,"When one of your suggested parties contacted me regarding my enquiry about installing a new garden fence and gate on my property, it was agreed that he would call at my home on Monday afternoon (20/10/2025) to discuss my requirements, provide a number of fence options and at the same time measure and then provide quotes for the cost of work and arrange a date convenient for both of us. Despite me staying in All Day - No-one turned up and no phone call,text or email to say why.
As a former business owner for 30 years myself, this is no way to treat potential customers and shows a complete lack of respect and professionalism.",Bark,2025,Relevant,Customer,Provider quality / no-show,,Provider quality / no-show,Medium,Manual V3 review,manual_v3_label
unlabelled_retry,previous_full_run_skipped_or_unlabelled,68cc32aea7813467052d55d6,2,2025-09-18 18:26:22+00:00,"I put an add out for one on one business coaching for my growing custom kitchen and cabinetry business and was absolutely bombarded with calls.  This was not a good thing, I couldn't even use my phone because of the amount of calls I received.  Half the people who contacted me where from foreign countries with broken English who tried to sell me outrageously expensive marketing packages which was not what I need or wanted.  Due to the high volume of calls i was receiving I tried to delete my post on bark but could no longer access it anywhere so I then had to call them to remove it, a further waste of my time.  Now 3 weeks later despite removing the post I am still getting random calls at all times of day from people trying to sell me services I do not need!  Horrible service that  I will never use again!",Bark,2025,Relevant,Customer,Too many provider contacts / spam,Account access / cancellation,Too many provider contacts / spam | Account access / cancellation,Medium,Manual V3 review,manual_v3_label
