reviewId,competitor,rating,text,manual_user_type,v2_complaint_themes,manual_complaint_themes,v2_severity,manual_severity,theme_rationale,severity_rationale
69be6a6604edd03af2c20575,Bark,3,Bark was useful to identify and contact service providers. We can make the contact but there could be features that allow fixing timing cost and other details registered with the select provider.,Customer,Platform usability,Platform usability / technical issues,Low,Low,Primary: Platform usability / technical issues,Minor inconvenience or friction without clear material harm
6a692ab7ce4ffe6ae8e2c916,Bark,1,"I rarely leave negative reviews, but Bark’s customer service genuinely shocked me.

I spent over £100 on credits and didn’t get a single job from them. They refunded the credits back to my Bark account, which is apparently their policy, but completely refused to refund the money back to my original payment method.

Normally I’d accept that, but I explained my circumstances. I’d recently lost my job, was going through a formal grievance, and was facing serious financial hardship. I wasn’t asking for anything unreasonable - I simply asked them to make an exception so I could access money I’d already paid while I got back on my feet. I even told them I fully intended to come back and use Bark again once my situation had improved.

Instead, I got the same copy-and-paste policy response over and over again. No empathy. No understanding. No willingness to exercise any discretion whatsoever.

Policies exist for a reason, but good customer service is about recognising when exceptional circumstances deserve an exceptional response. Bark had every opportunity to show a bit of humanity and chose not to.

If you’re happy dealing with a company that sticks rigidly to policy regardless of the situation their customers are in, then Bark may be fine for you. Personally, I’ll remember how I was treated when I needed understanding the most.",Service Provider / Business,Poor ROI / expensive leads | Billing / refunds | Customer support,Poor ROI / expensive leads | Billing / refunds,Medium,Medium,Primary: Poor ROI / expensive leads; Secondary: Billing / refunds,"Meaningful service, financial, trust, support, or account failure"
6976fa33ecf69d6119c06435,Bark,3,If you’re want tree work you literally have a couple of minutes to get the lead when it comes in. Leads cost £ 86.40 for 50 credits if you pay an extra the monthly subscription for elite. Most tree jobs are 18 credits so you can win 2 leads and very slim chance of winning. Probably off best using facebook adds,Service Provider / Business,Too much provider competition | Poor ROI / expensive leads,Too much provider competition,Medium,Low,Primary: Too much provider competition,Minor inconvenience or friction without clear material harm
69c59c8f9caeb51121c23e76,Bark,2,"I was contacted by the company who stated they could provide reliable business leads and offered a guarantee. What I found curious was that 'leads' were entirely unresponsive, which is unusual and that as soon as your 'credits' have run out, you then start receiving emails stating 'X wants to work with you...10 (e.g) credits to respond'. ",Service Provider / Business,Unresponsive leads | Poor ROI / expensive leads | Misleading claims / transparency,Unresponsive leads | Misleading claims / transparency,Medium,Medium,Primary: Unresponsive leads; Secondary: Misleading claims / transparency,"Meaningful service, financial, trust, support, or account failure"
6a5f4643bb7e3f6a4f64fcf0,Bark,1,"No response to my request for a dog sitter, but Bark still wanted my contact details before allowing me to view the results.  ",Customer,Finding a provider / low response | Platform usability,Finding a provider / low response,Medium,Medium,Primary: Finding a provider / low response,Core marketplace task failed or produced little/no provider response
6a66f4795208ff869281272a,Bark,2,"Sold to everyone. Not able to select and review the companies profile. Aggresive marketing strategies and asking how we did after less then 2 working days.. 
Poor performing system for the customer.",Customer,Platform usability | Privacy / unwanted contact,Platform usability / technical issues,Medium,Low,Primary: Platform usability / technical issues,Minor inconvenience or friction without clear material harm
68dfdf2cf2cc76ebd611c504,Bark,2,Reasonable work but ripped off over price and held to ransom over work,Customer,Pricing / quote transparency | Provider quality,Pricing / quote transparency,Medium,Medium,Primary: Pricing / quote transparency,"Meaningful service, financial, trust, support, or account failure"
699398e2e58f8066be52a6d8,Bark,2,"This was unreal. I signed into Bark to try and make contact with a local social media manager, and within 20 minutes my phone rang 30 times, and I received 100 emails. It was ridiculous and overwhelming. I even started getting texts and cell phone calls, even though I did not list me cell phone. ",Customer,Too many provider contacts / spam | Privacy / unwanted contact,Too many provider contacts / spam,Medium,Medium,Primary: Too many provider contacts / spam,High-volume unwanted provider contact
6a3d876063da0fc1a9e3918a,Checkatrade,1,"As a tradesmen I have never received such a terrible service was paying for a high level service and every 3-5 days the advertising i had was being suspended without reason. I came across a safety issue at a job and safety in my opiniom comes first, this is from a customer they gave me and received bad behaviour from a customer who was being forceful I have many friends who are on checkatrade and after speaking with them after my experience they will leaving also to move to other places as they have had similar issues with them. They sent an email stated my account was suspended without even asking for my side of the story and I won't be paying the bill owed as they have broken the contract. Their contract is unregulated anyways so they will lose if they try as they terminated it.",Service Provider / Business,Account / cancellation | Customer support,Account access / cancellation | Sales pressure / contract terms,High,Medium,Primary: Account access / cancellation; Secondary: Sales pressure / contract terms,"Meaningful service, financial, trust, support, or account failure"
6a59ef64607e6bba0af90ec2,Checkatrade,1,"Do find the website useful however I had 1 electrician complete work to a high standard booked him to come back he never turned up.  Contacted him said he'd call back with another date as there'd been an issue with his calendar.  Never contacted me.  Arranged another electrician contacted me with a price, confirmed date and time.  Again never turned up and didn't even bother to contact me.  Think it's just pot luck to be honest if you get a reliable tradespeople on here.",Customer,Provider quality,Provider quality / no-show,Medium,Medium,Primary: Provider quality / no-show,"Meaningful service, financial, trust, support, or account failure"
6a5e1a029ea175e564ba1931,Checkatrade,1,"I chose a decorator exclusively because of their Checkatrade profile. The business had around 50 overwhelmingly positive reviews, almost all 10/10, which gave me the confidence to hand over the keys to my newly purchased home.

The workmanship I received was completely inconsistent with that reputation. I was left with defective decorating work, damage to my property and significant costs to have everything put right.

What has disappointed me even more is Checkatrade's handling of the complaint. Although they confirmed they would investigate the workmanship and the trader's conduct, they repeatedly focused on whether I had proof of payment. In my case, no payment was made because, after I challenged the quality of the work, the trader refused payment himself and said he would leave the work ""as a gift.""

Despite this unusual situation, I have still suffered financial loss and have been left with the cost of rectifying the damage. I also raised concerns about the significant discrepancy between the trader I encountered and the reputation presented on the Checkatrade profile, but I have received very little information about the investigation or what steps are being taken to protect other customers.

The value of a platform like Checkatrade is trust. Customers rely on the reviews, the vetting process and the reassurance that concerns will be investigated thoroughly when things go wrong. Unfortunately, my experience has left me questioning how much protection customers actually receive when a trader's work falls so far below the standard represented on the platform.",Customer,Provider quality | Review trust | Dispute protection | Provider verification / safety,Provider quality / no-show | Provider verification / safety,High,Medium,Primary: Provider quality / no-show; Secondary: Provider verification / safety,"Meaningful service, financial, trust, support, or account failure"
6a292b9e28adcbebdb9fb7c0,Checkatrade,1,"This company do not help the tradesman.Their employee
All they do when there's a problem. As with me, my account was hacked. I asked checker trade to put it right or help me do it. And can somebody firm me from customer services? Absolutely nothing all I got was a counts. Asking me for payments, 4 times a day for the last 5 weeks. This company are no more than a bunch of Cowboys demanding money.  By way of menasis, avoid this company like the plague.If you're a tradesman, they just hound you for money continuously, even there's a problem.\nThat they can fix , they don't do it , they just want to take you to court for the contract money , absolutely disgusting.damp proofing 2010..
............. Update............
This is an update to the previous messages. Check, a trade are still harassingly for payments. They expect me to pay each month for a service. I am clearly not getting they suspended my account because I told them it was hacked but they expect me to pay each and every month for the service. I am not getting and now. They are threatening me with collection agencies.  This is absolutely scandalous and unprofessional. I have phone them numerous times I have sent them emails that bounce back every time I get a call which has been 23 demands for money. I am left with the same answer.\n All they want is money and they are not bothered about my account being hacked and unusable.  All they want to do is suspend my account and expect me to keep paying a monthly fee again. I have told them I am not paying any monthly fees until my account is up and running. That is the service that I agreed to pay for not an account that is suspended and has been hacked. Check a trade, like to write and message underneath mine. So, the tradesmen will think everything is fine. Believe me, these are charlettons all they want is your blood.  And they will not listen to understanding and reasonableness, absolute unprofessional, think twice about joining checker trade, they have gone so far downhill, they're at the bottom, in my opinion. Absolutely.Disgraceful and should be looked at by a leading body as to where they go about demanding money by menasis. It took less than 10 seconds to get an automated review.\nReply, so nothing personal, just an automated reply.Absolutely disgraceful company",Service Provider / Business,Account / cancellation | Billing / refunds | Customer support,Account access / cancellation | Sales pressure / contract terms,High,High,Primary: Account access / cancellation; Secondary: Sales pressure / contract terms,"Serious safety, legal, debt-collection, or account-security impact"
6989ab908538ba5e87ff2079,Checkatrade,2,"First time Checkatrade
Got onto the site easy, got three contractors good. But as small job only one replied gave a messenger quote.  I found it difficult to navigate  your site to view process. Possibly me?  So was unable to complete the process through your system. 
",Customer,Finding a provider / low response | Platform usability,Finding a provider / low response | Platform usability / technical issues,Medium,Medium,Primary: Finding a provider / low response; Secondary: Platform usability / technical issues,Technical failure prevented or materially disrupted use
69e1e28cd9d63ed0abfc87dd,Checkatrade,3,A number of candidates who initially expressed interest were timewasters /didn't show up /lost interest. Finally got the right person to do the job .,Customer,Provider quality,Provider quality / no-show,Medium,Medium,Primary: Provider quality / no-show,"Meaningful service, financial, trust, support, or account failure"
6a6e3bf5e875e9326bda98d0,Checkatrade,1,The reviews of work done have no resemblance to the work carried out for me.I used checkatrade twice.In both instances the work done made it worse than it was previously.One was for guttering.This rogue company gives a reasonable price for what was a simple job and then does a shoddy job making me feel like crying with the guttering.They then seem aggressive and as a single woman you just hand over the money or you feel there may be repercussions.They then request £850 if I want a piece of guttering replaced and a simple downpipe.Another so called painter decorator ruined the wooden sash windows and ledges with thick streaky paint and sticks of paint down the areas that he painted.Filler was not sanded before painted so it looks like a seven year old took a paint brush to my house.Inwill never trust this platform again.,Customer,Review trust | Provider quality | Pricing / quote transparency | Provider verification / safety,Review trust / moderation | Provider quality / no-show,High,Medium,Primary: Review trust / moderation; Secondary: Provider quality / no-show,"Meaningful service, financial, trust, support, or account failure"
6a70f7d0707e6d2d3fd42b1b,Checkatrade,1,If You're a Trader. These lots are complete Sharks.   Also it's supposed to be 189 per month  they tried to take 239. After I cancelled the service.   This isn't on.   Lots of traders are complaining ,Service Provider / Business,Billing / refunds | Account / cancellation,Billing / refunds,Medium,Medium,Primary: Billing / refunds,"Meaningful service, financial, trust, support, or account failure"
65a7f3e94bec57e75a86d5db,Yell,3,"Finally got a new static website after waiting 8+ months.  I have been chasing Yell to do something about their Yell Business app, the messenger doesn't work, this was reported 7 months ago, still not resolved.",Service Provider / Business,Platform usability | Customer support,Platform usability / technical issues,Medium,Medium,Primary: Platform usability / technical issues,Technical failure prevented or materially disrupted use
